cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,1230,-23770,-201,-201,1230,38.0,230,268,70,371898
ABa:2,ABa,2,1180,-23820,-231,-231,1180,38.0,226,268,74,687309
ABa:3,ABa,3,1209,-23791,-346,-346,1209,40.0,198,274,74,957526
ABa:4,ABa,4,1286,-23714,-313,-313,1286,34.0,172,270,82,1253672
ABa:5,ABa,5,1260,-23740,-441,-441,1260,39.0,170,282,86,1558569
ABa:6,ABa,6,1288,-23712,-335,-335,1288,37.0,178,272,86,1508495
ABa:7,ABa,7,1258,-23742,-307,-307,1258,34.0,176,260,94,1591772
ABa:8,ABa,8,1304,-23696,-277,-277,1304,37.0,186,254,82,456683
ABa:9,ABa,9,1359,-23641,-214,-214,1359,44.0,206,272,62,185519
ABal:10,ABal,10,1184,-23816,-361,-361,1184,30.0,184,276,62,225493
ABal:11,ABal,11,1332,-23668,-155,-155,1332,29.0,188,286,66,484773
ABal:12,ABal,12,1358,-23642,-128,-128,1358,28.0,188,288,66,560931
ABal:13,ABal,13,1413,-23587,-127,-127,1413,22.0,172,276,74,822317
ABal:14,ABal,14,1309,-23691,-137,-137,1309,21.0,176,282,78,968188
ABal:15,ABal,15,1313,-23687,-168,-168,1313,21.0,164,320,78,1049768
ABal:16,ABal,16,1239,-23761,-210,-210,1239,27.0,156,308,78,1114926
ABal:17,ABal,17,1218,-23782,-283,-283,1218,31.0,156,300,82,1236237
ABal:18,ABal,18,1293,-23707,-251,-251,1293,37.0,168,282,78,634063
ABal:19,ABal,19,1335,-23665,-254,-254,1335,42.0,178,268,62,425376
ABala:20,ABala,20,1315,-23685,-175,-175,1315,34.0,158,242,54,236268
ABala:21,ABala,21,1273,-23727,-244,-244,1273,33.0,146,256,58,337842
ABala:22,ABala,22,1317,-23683,-226,-226,1317,35.0,136,258,62,506968
ABala:23,ABala,23,1315,-23685,-233,-233,1315,37.0,122,266,66,695594
ABala:24,ABala,24,1280,-23720,-285,-285,1280,36.0,120,272,70,852749
ABala:25,ABala,25,1432,-23568,-191,-191,1432,37.0,124,252,70,785456
ABala:26,ABala,26,1354,-23646,-207,-207,1354,34.0,126,242,70,784701
ABala:27,ABala,27,1268,-23732,-219,-219,1268,32.0,126,236,74,875152
ABala:28,ABala,28,1287,-23713,-223,-223,1287,34.0,130,228,74,898979
ABala:29,ABala,29,1273,-23727,-232,-232,1273,35.0,148,220,74,887936
ABala:30,ABala,30,1272,-23728,-197,-197,1272,37.0,152,214,70,637441
ABala:31,ABala,31,1141,-23859,-318,-318,1141,36.0,160,228,58,488916
ABalaa:32,ABalaa,32,1153,-23847,-358,-358,1153,39.0,122,236,50,304705
ABalaa:33,ABalaa,33,1132,-23868,-316,-316,1132,38.0,120,226,54,395391
ABalaa:34,ABalaa,34,1430,-23570,-164,-164,1430,40.0,114,230,54,440612
ABalaa:35,ABalaa,35,1369,-23631,-220,-220,1369,39.0,106,236,58,546805
ABalaa:36,ABalaa,36,1329,-23671,-231,-231,1329,41.0,100,250,58,576036
ABalaa:37,ABalaa,37,1349,-23651,-201,-201,1349,43.0,102,256,58,614192
ABalaa:38,ABalaa,38,1322,-23678,-285,-285,1322,43.0,110,258,58,625408
ABalaa:39,ABalaa,39,1251,-23749,-340,-340,1251,44.0,110,260,62,759622
ABalaa:40,ABalaa,40,1171,-23829,-349,-346,1171,43.0,114,260,62,808842
ABalaa:41,ABalaa,41,1318,-23682,-204,-205,1318,46.0,124,258,62,793604
ABalaa:42,ABalaa,42,1200,-23800,-422,-422,1200,43.0,120,248,62,853684
ABalaa:43,ABalaa,43,1289,-23711,-207,-207,1289,44.0,122,246,62,887759
