cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
AB:1,AB,1,1683,-23317,-1136,-1136,1683,31.0,400,426,62,1389861
AB:2,AB,2,1334,-23666,-1248,-1248,1334,31.0,406,454,66,1276608
AB:3,AB,3,1136,-23864,-1271,-1271,1136,28.0,430,468,78,1704332
AB:4,AB,4,967,-24033,-1277,-1277,967,25.0,450,476,90,2195579
AB:5,AB,5,847,-24153,-965,-965,847,23.0,460,490,78,1584778
AB:6,AB,6,825,-24175,-1825,-1825,825,28.0,486,512,98,2991896
AB:7,AB,7,829,-24171,-1021,-1021,829,26.0,510,512,78,1604434
AB:8,AB,8,755,-24245,-787,-787,755,26.0,488,518,66,1395438
ABa:9,ABa,9,1137,-23863,-508,-566,1137,27.0,498,514,50,592370
ABa:10,ABa,10,1139,-23861,-423,-422,1139,22.0,502,552,46,432983
ABa:11,ABa,11,1061,-23939,-1233,-1233,1061,24.0,512,534,70,745912
ABa:12,ABa,12,1271,-23729,-1573,-1573,1271,27.0,534,518,74,842870
ABa:13,ABa,13,1219,-23781,-2063,-2063,1219,25.0,556,534,90,1368115
ABa:14,ABa,14,1094,-23906,-2443,-2443,1094,22.0,576,548,94,1628977
ABa:15,ABa,15,1047,-23953,-2390,-2390,1047,25.0,582,566,86,1440099
ABa:16,ABa,16,1041,-23959,-2459,-2457,1041,23.0,560,574,98,1968299
ABa:17,ABa,17,974,-24026,-2387,-2386,974,24.0,550,580,94,1324087
ABa:18,ABa,18,934,-24066,-1543,-1543,934,22.0,516,582,70,1082184
ABal:19,ABal,19,1250,-23750,-959,-959,1250,18.0,540,576,50,312723
ABal:20,ABal,20,1284,-23716,-1527,-1527,1284,20.0,576,568,58,280415
ABal:21,ABal,21,1630,-23370,-1476,-1476,1630,24.0,578,546,62,331247
ABal:22,ABal,22,1007,-23993,-1756,-1756,1007,19.0,602,542,66,430284
ABal:23,ABal,23,1079,-23921,-1969,-1969,1079,19.0,606,548,70,531424
ABal:24,ABal,24,1318,-23682,-1614,-1614,1318,18.0,598,564,78,706328
ABal:25,ABal,25,1333,-23667,-1782,-1782,1333,19.0,614,562,78,813446
ABal:26,ABal,26,1089,-23911,-2277,-2280,1089,21.0,612,564,86,1394841
ABal:27,ABal,27,1145,-23855,-2381,-2387,1145,25.0,614,562,90,1875685
ABal:28,ABal,28,1181,-23819,-2541,-2541,1181,28.0,602,564,70,762717
ABala:29,ABala,29,1474,-23526,-1606,-1757,1474,26.0,586,586,54,317855
ABala:30,ABala,30,1430,-23570,-1395,-1395,1430,21.0,574,600,54,197609
ABala:31,ABala,31,1449,-23551,-1643,-1639,1449,25.0,578,610,54,224157
ABala:32,ABala,32,1310,-23690,-2056,-2044,1310,25.0,582,610,58,336155
ABala:33,ABala,33,1527,-23473,-2241,-2256,1527,29.0,598,602,66,568313
ABala:34,ABala,34,1637,-23363,-2622,-2629,1637,33.0,588,598,70,799489
ABala:35,ABala,35,1803,-23197,-2470,-2469,1803,35.0,582,600,70,823984
ABala:36,ABala,36,1608,-23392,-2463,-2473,1608,33.0,576,616,70,889948
ABala:37,ABala,37,1720,-23280,-2230,-2224,1720,33.0,586,622,70,903561
ABala:38,ABala,38,1593,-23407,-2393,-2397,1593,34.0,582,620,70,845300
ABala:39,ABala,39,1260,-23740,-3033,-3032,1260,34.0,574,610,70,902752
ABala:40,ABala,40,1279,-23721,-2857,-2858,1279,32.0,568,620,74,676539
ABala:41,ABala,41,1204,-23796,-2616,-2616,1204,33.0,548,620,54,406286
ABalaa:42,ABalaa,42,1553,-23447,-2417,-2420,1553,34.0,562,644,50,272337
ABalaa:43,ABalaa,43,1625,-23375,-2054,-2055,1625,33.0,558,650,54,274347
ABalaa:44,ABalaa,44,1328,-23672,-1984,-1985,1328,31.0,566,660,58,318540
ABalaa:45,ABalaa,45,1360,-23640,-2011,-2011,1360,33.0,562,658,58,388193
ABalaa:46,ABalaa,46,1296,-23704,-2302,-2302,1296,34.0,566,652,58,441747
ABalaa:47,ABalaa,47,1588,-23412,-2054,-2054,1588,35.0,566,646,62,549026
ABalaa:48,ABalaa,48,1602,-23398,-2220,-2221,1602,36.0,560,642,62,572075
ABalaa:49,ABalaa,49,1597,-23403,-2103,-2104,1597,36.0,566,640,62,594790
ABalaa:50,ABalaa,50,1521,-23479,-2008,-2010,1521,35.0,572,642,62,612584
ABalaa:51,ABalaa,51,1486,-23514,-2205,-2205,1486,34.0,568,632,62,603973
ABalaa:52,ABalaa,52,1298,-23702,-2329,-2334,1298,33.0,568,636,62,599192
ABalaa:53,ABalaa,53,1616,-23384,-1641,-1654,1616,34.0,566,638,66,665947
ABalaa:54,ABalaa,54,1421,-23579,-1990,-1995,1421,34.0,566,644,62,631075
ABalaa:55,ABalaa,55,1101,-23899,-2421,-2421,1101,33.0,564,642,58,538972
ABalaa:56,ABalaa,56,1322,-23678,-1864,-1864,1322,33.0,562,646,62,592953
ABalaa:57,ABalaa,57,1230,-23770,-1823,-1832,1230,33.0,562,650,62,538129
ABalaa:58,ABalaa,58,1338,-23662,-2232,-2232,1338,32.0,560,644,54,356097
ABalaaa:59,ABalaaa,59,1494,-23506,-1930,-1930,1494,32.0,562,656,42,185838
ABalaaa:60,ABalaaa,60,2236,-22764,-1234,-1238,2236,34.0,582,636,50,217783
